04-12 16:53:47.002   12013-13552   C01719/ffrt                     com.opens...is.music  W     7:RecordSymbolAndBacktrace:397 Process:com.opensource.metis.music,Tid:13539,Qos:2,CWorker:1,EWorker:1,SWorker:0,TaskType:0,timeout:5s
04-12 16:53:49.499   12013-13544   C03f00/ArkCompiler              com.opens...is.music  I     [gc] SmartGC: app cold start finished
04-12 16:53:50.261   12013-12013   C02805/InputKeyFlow             com.opens...is.music  I     [][OnPointerEvent:242] ac: down: 320
04-12 16:53:50.261   12013-12013   C02805/InputKeyFlow             com.opens...is.music  I     [P:D:320][OnPointerEvent:649] recv
04-12 16:53:50.261   12013-12013   C04213/InputKeyFlow             com.opens...is.music  I     HandleInputEvent: eid:0,InputId:320,wid:44,ac:2
04-12 16:53:50.263   12013-12013   C03951/InputKeyFlow             com.opens...is.music  I     [(100000:100000:scope)] ITK Id:320, fId:0, T:0, I=0, M=0
04-12 16:53:50.263   12013-12013   C03934/AceUIEvent               com.opens...is.music  W     [(100000:100000:scope)] Slider/122 eventHub not enabled, needn't do touch test
04-12 16:53:50.263   12013-12013   C02220/IntentionClient          com.opens...is.music  I     in Connect, enter
04-12 16:53:50.263   12013-12013   C02220/IntentionClient          com.opens...is.music  I     in Connect, leave
04-12 16:53:50.264   12013-12013   C03905/AceDrag                  com.opens...is.music  I     [(100000:100000:scope)] RequestStatusTransition from 0 to 1.
04-12 16:53:50.264   12013-12013   C03951/InputKeyFlow             com.opens...is.music  I     [(100000:100000:scope)] ITK Id:320, TTHNI:fId: 0{ T: Stack, D: 10 };
04-12 16:53:50.264   12013-12013   C03951/InputKeyFlow             com.opens...is.music  I     [(100000:100000:scope)] ITK Id:320, TTHRTI: T ClickRecognizer info: { T: Stack };T LongPressRecognizer info: { T: Image }; { T: Image };T PanRecognizer info: { T: Image };
04-12 16:53:50.265   12013-12013   C03919/AceInputTracking         com.opens...is.music  I     [(100000:100000:scope)] Consumed id:320, last id:-1
04-12 16:53:50.265   12013-12013   C04213/InputKeyFlow             com.opens...is.music  I     ConsumePointerEventInner: InputId:320,wid:44,pointId:0,srcType:2,rect:[0,0,1320,2848],notify:1
04-12 16:53:50.314   12013-12013   C02220/IntentionClient          com.opens...is.music  I     in Connect, enter
04-12 16:53:50.314   12013-12013   C02220/IntentionClient          com.opens...is.music  I     in Connect, leave
04-12 16:53:50.330   12013-12013   C02805/InputKeyFlow             com.opens...is.music  I     [][OnPointerEvent:242] ac: up: 321
